iter	MAE
0	4300.89193
1	4149.085472
2	3990.662659
3	3839.244609
4	3705.924722
5	3575.136299
6	3461.440703
7	3348.614748
8	3239.47627
9	3129.813918
10	3030.574073
11	2936.376927
12	2846.273082
13	2761.213948
14	2673.247091
15	2606.276035
16	2532.235926
17	2458.778261
18	2392.259808
19	2326.717159
20	2263.334686
21	2209.409117
22	2152.173318
23	2110.880679
24	2073.621229
25	2031.362914
26	1991.096668
27	1941.978337
28	1902.808711
29	1860.317335
30	1822.662654
31	1793.249404
32	1757.350236
33	1729.778231
34	1703.84783
35	1667.676008
36	1632.280606
37	1603.416406
38	1576.119711
39	1544.233535
40	1518.583473
41	1498.362873
42	1476.819824
43	1456.098216
44	1433.170855
45	1410.727986
46	1393.973405
47	1378.679707
48	1357.688125
49	1344.257042
50	1325.813289
51	1312.951832
52	1296.328662
53	1283.44106
54	1269.33187
55	1257.488067
56	1242.990755
57	1232.820473
58	1223.86331
59	1212.342258
60	1203.002063
61	1192.467261
62	1184.711889
63	1177.291774
64	1170.255233
65	1162.202083
66	1153.852163
67	1146.640617
68	1136.66266
69	1130.942178
70	1121.706854
71	1115.624776
72	1108.261787
73	1103.553472
74	1097.599022
75	1093.41084
76	1089.006286
77	1083.369358
78	1078.653453
79	1072.986027
80	1068.07905
81	1063.73233
82	1058.288141
83	1052.106291
84	1046.195382
85	1039.772698
86	1036.491054
87	1031.944581
88	1027.091152
89	1021.643576
90	1015.101777
91	1010.82946
92	1005.644467
93	1002.812918
94	1000.140695
95	995.2212358
96	990.8404498
97	989.441032
98	984.9236473
99	981.5690685
100	979.2060701
101	978.6291504
102	974.7181655
103	971.7087081
104	968.1511891
105	966.4039732
106	964.9282595
107	962.6353626
108	957.0983458
109	955.0368186
110	950.9753415
111	948.0371148
112	942.8794836
113	941.0974995
114	938.6610932
115	935.4708415
116	932.8482677
117	930.4174474
118	927.3524021
119	925.314587
120	922.3226724
121	919.7503439
122	917.4389618
123	914.9818899
124	912.2911997
125	911.0096486
126	909.5671682
127	909.0237207
128	907.7920771
129	907.1654318
130	905.6399076
131	903.7541622
132	901.7155469
133	899.6986974
134	897.3624743
135	895.5096004
136	893.2203431
137	891.4885824
138	890.9462109
139	888.7226631
140	886.8150995
141	884.2536539
142	882.846667
143	881.2571075
144	879.9394392
145	877.8290789
146	875.5016112
147	874.931841
148	872.8907866
149	871.031928
150	869.2752679
151	866.4482476
152	865.9213852
153	864.9423258
154	863.0815565
155	861.3842142
156	858.2523913
157	856.6335007
158	856.2477342
159	855.5555539
160	853.6616616
161	852.9430866
162	849.8375442
163	848.267668
164	847.6283825
165	846.9354585
166	845.2958393
167	842.6130524
168	841.8668315
169	838.497312
170	837.9298592
171	837.6057445
172	837.0593731
173	836.1584081
174	832.820814
175	830.7706073
176	829.3935234
177	826.8300283
178	824.5241036
179	822.380664
180	821.5229853
181	821.1126292
182	820.8153822
183	818.7457984
184	817.6300055
185	814.7999667
186	814.0883739
187	813.677917
188	813.465359
189	812.3362971
190	811.14946
191	810.099835
192	808.7501721
193	806.2468115
194	805.8311929
195	805.3924481
196	804.9150052
197	803.7044884
198	803.3886476
199	802.0452799
200	800.7550596
201	798.5911086
202	797.9685501
203	797.6445008
204	796.4153543
205	795.2793538
206	794.6188695
207	793.4600042
208	793.1660463
209	792.0374489
210	791.7973023
